,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
79,79,78858865.0,927BIGFM,2009-01-10 09:41:00,60,301908,441.0,INDIA,0.966666667,0.9,0.7,5.233333333,10.73333333,19524,0,2021-07-06 16:08:28,442.0,4560.2690740740745,4.281326317123993,0.06,10.340746199714454
80,80,8.42e+17,BPRDIndia,2017-03-16 17:55:00,160,6051,152.0,India,0.566666667,0.7333333329999999,0.566666667,15.63333333,6.966666667,1118,0,2021-07-06 16:08:28,153.0,1572.9260185185185,0.7107772309933581,0.18,10.348197490253412
81,81,1e+18,fireserviceup,2018-05-06 05:43:00,91,332,41.0,"Lucknow, India",0.133333333,0.666666667,0.066666667,22.93333333,21.0,11,0,2021-07-06 16:08:28,42.0,1157.434351851852,0.009503778752030652,0.03,28.230106142728097
82,82,122658025.0,RajatSharmaLive,2010-03-13 12:52:00,39,3330365,22.0,Delhi,0.266666667,1.0,0.966666667,261.3,1022.833333,5163,0,2021-07-06 16:08:28,23.0,4133.136435185185,1.2491724096131058,0.0,187.86983796296298
83,83,136172389.0,skochgroup,2010-04-23 06:11:00,123,28472,250.0,India,1.166666667,5.0,2.5,16.66666667,44.83333333,3045,0,2021-07-06 16:08:28,251.0,4092.4149074074076,0.7440594536219797,0.11,16.36965962962963
84,84,1535907986.0,Etahpolice,2013-06-21 06:46:00,129,13714,169.0,"Etah, UP, India",0.5,0.3,2.0,17.63333333,1.3666666669999998,30895,0,2021-07-06 16:08:28,170.0,2937.390601851852,10.517838513040289,2.25,17.381009478413326
85,85,1469482477.0,digbasti,2013-05-30 10:51:00,140,11595,11.0,0,0.3666666670000001,0.333333333,1.233333333,160.5333333,5.366666667,1098,0,2021-07-06 16:08:28,12.0,2959.2204629629628,0.37104366293162605,0.09,269.0200420875421
86,86,4833521534.0,digdevipatan,2016-01-30 05:05:00,151,2014,121.0,0,0.7666666670000001,0.433333333,2.366666667,104.8,2.0,4785,0,2021-07-06 16:08:28,122.0,1984.4607407407407,2.4112343982244266,2.38,16.400501989592897
87,87,2959280540.0,digmirzapur,2015-05-01 07:01:00,160,17353,205.0,"मिर्जापुर-विन्ध्याचल, भारत",0.533333333,0.133333333,2.1,57.16666667,0.0,7394,0,2021-07-06 16:08:28,206.0,2258.3801851851854,3.274028017294926,0.43,11.016488708220416
88,88,1469471533.0,ADGZonPrayagraj,2013-05-30 10:44:00,146,30020,236.0,"ADGOffice AshokNagar,Allahabad",0.3666666670000001,0.3666666670000001,2.266666667,70.4,4.5,9325,0,2021-07-06 16:08:28,237.0,2959.2253240740743,3.1511625438383075,0.31,12.539090356246078
89,89,1476714007.0,adgzonevaranasi,2013-02-06 07:47:00,141,33446,75.0,IG OFFICE VARANASI,0.133333333,0.133333333,3.133333333,7.1,0.3666666670000001,57081,0,2021-07-06 16:08:28,76.0,3072.348240740741,18.578948585020367,1.71,40.96464320987655
